open,high,low,close,volume
1661.0654296875,1661.4300537109375,1661.010009765625,1661.4300537109375,1139
1660.1014404296875,1661.0599365234375,1660.1014404296875,1660.5550537109375,1750
1661.77001953125,1661.77001953125,1660.4599609375,1660.4599609375,1870
1662.3800048828125,1662.458984375,1662.10498046875,1662.10498046875,1576
1662.4659423828125,1662.93994140625,1662.4659423828125,1662.93994140625,1445
1663.0,1663.0,1661.760009765625,1662.699951171875,1661
1662.5,1663.0,1662.31005859375,1662.31005859375,2594
1664.0,1664.0,1662.18994140625,1662.5799560546875,3036
1664.6500244140625,1664.989990234375,1664.3900146484375,1664.7293701171875,2732
1664.596923828125,1665.1400146484375,1664.41015625,1664.41015625,1739
1664.81005859375,1664.81005859375,1664.6783447265625,1664.6783447265625,790
1664.8399658203125,1664.8399658203125,1664.3499755859375,1664.35009765625,2666
